url,status,canonical,robots_meta,x_robots_tag,indexable,sitemap_included
https://sashabd.com/conference-system/spon-lcs-5252d-wireless-conference-delegate-unit/,200,https://sashabd.com/conference-system/spon-lcs-5252d-wireless-conference-delegate-unit/,"index, follow",,true,true
https://sashabd.com/conference-system/spon-lcm-6013dv-l-digital-conference-delegate-unit/,200,https://sashabd.com/conference-system/spon-lcm-6013dv-l-digital-conference-delegate-unit/,"index, follow",,true,true
https://sashabd.com/turnstile-gate/tripod-turnstile-gate-access-control-system/,200,https://sashabd.com/turnstile-gate/tripod-turnstile-gate-access-control-system/,"index, follow",,true,true
https://sashabd.com/conference-system/spon-lcs-5251cd-digital-conference-microphone-system/,200,https://sashabd.com/conference-system/spon-lcs-5251cd-digital-conference-microphone-system/,"index, follow",,true,true
https://sashabd.com/conference-system/spon-lcs-5301z-wireless-digital-conference-access-point/,200,https://sashabd.com/conference-system/spon-lcs-5301z-wireless-digital-conference-access-point/,"index, follow",,true,true
https://sashabd.com/conference-system/huidu-hd-vp950-conference-video-processor/,200,https://sashabd.com/conference-system/huidu-hd-vp950-conference-video-processor/,"index, follow",,true,true
https://sashabd.com/turnstile-gate/flap-barrier-access-control-gate/,200,https://sashabd.com/turnstile-gate/flap-barrier-access-control-gate/,"index, follow",,true,true
https://sashabd.com/turnstile-gate/swing-barrier-speed-gate-turnstile/,200,https://sashabd.com/turnstile-gate/swing-barrier-speed-gate-turnstile/,"index, follow",,true,true
https://sashabd.com/turnstile-gate/ai-face-recognition-turnstile-gate/,200,https://sashabd.com/turnstile-gate/ai-face-recognition-turnstile-gate/,"index, follow",,true,true
https://sashabd.com/turnstile-gate/waist-high-turnstile-gate-single-double-lane/,200,https://sashabd.com/turnstile-gate/waist-high-turnstile-gate-single-double-lane/,"index, follow",,true,true
https://sashabd.com/turnstile-gate/ds312-flap-turnstile-gate/,200,https://sashabd.com/turnstile-gate/ds312-flap-turnstile-gate/,"index, follow",,true,true
https://sashabd.com/turnstile-gate/daosafe-ds112-tripod-turnstile/,200,https://sashabd.com/turnstile-gate/daosafe-ds112-tripod-turnstile/,"index, follow",,true,true
https://sashabd.com/turnstile-gate/ds212-swing-turnstile-gate/,200,https://sashabd.com/turnstile-gate/ds212-swing-turnstile-gate/,"index, follow",,true,true
https://sashabd.com/turnstile-gate/ds2000-speed-gate-turnstile/,200,https://sashabd.com/turnstile-gate/ds2000-speed-gate-turnstile/,"index, follow",,true,true
https://sashabd.com/turnstile-gate/full-height-turnstile-gate-for-factory-restricted-entry/,200,https://sashabd.com/turnstile-gate/full-height-turnstile-gate-for-factory-restricted-entry/,"index, follow",,true,true
https://sashabd.com/turnstile-gate/ds-q50s-tripod-turnstile-gate/,200,https://sashabd.com/turnstile-gate/ds-q50s-tripod-turnstile-gate/,"index, follow",,true,true
https://sashabd.com/turnstile-gate/ds-q70-20-flap-barrier-turnstile/,200,https://sashabd.com/turnstile-gate/ds-q70-20-flap-barrier-turnstile/,"index, follow",,true,true
https://sashabd.com/digital-podium/premium-digital-podium-interactive-touch-display/,200,https://sashabd.com/digital-podium/premium-digital-podium-interactive-touch-display/,"index, follow",,true,true
https://sashabd.com/digital-podium/standard-digital-podium-built-in-pc-sound/,200,https://sashabd.com/digital-podium/standard-digital-podium-built-in-pc-sound/,"index, follow",,true,true
https://sashabd.com/digital-podium/oem-digital-podium-multimedia-lectern/,200,https://sashabd.com/digital-podium/oem-digital-podium-multimedia-lectern/,"index, follow",,true,true
https://sashabd.com/digital-podium/auditorium-digital-podium-av-conference-integration/,200,https://sashabd.com/digital-podium/auditorium-digital-podium-av-conference-integration/,"index, follow",,true,true
https://sashabd.com/digital-podium/tender-based-custom-digital-podium-boq-compliant/,200,https://sashabd.com/digital-podium/tender-based-custom-digital-podium-boq-compliant/,"index, follow",,true,true
https://sashabd.com/interactive-flat-panel/lg-createboard-65in-4k-touch-classroom/,200,https://sashabd.com/interactive-flat-panel/lg-createboard-65in-4k-touch-classroom/,"index, follow",,true,true
https://sashabd.com/digital-podium/smart-classroom-digital-podium-projector-ifp-integration/,200,https://sashabd.com/digital-podium/smart-classroom-digital-podium-projector-ifp-integration/,"index, follow",,true,true
https://sashabd.com/interactive-flat-panel/lg-createboard-75in-4k-smart-classroom/,200,https://sashabd.com/interactive-flat-panel/lg-createboard-75in-4k-smart-classroom/,"index, follow",,true,true
https://sashabd.com/interactive-flat-panel/lg-createboard-86in-4k-collaboration-display/,200,https://sashabd.com/interactive-flat-panel/lg-createboard-86in-4k-collaboration-display/,"index, follow",,true,true
https://sashabd.com/interactive-flat-panel/lg-ultra-110in-4k-flagship-interactive-panel/,200,https://sashabd.com/interactive-flat-panel/lg-ultra-110in-4k-flagship-interactive-panel/,"index, follow",,true,true
https://sashabd.com/interactive-flat-panel/lg-ultra-96in-4k-interactive-board/,200,https://sashabd.com/interactive-flat-panel/lg-ultra-96in-4k-interactive-board/,"index, follow",,true,true
https://sashabd.com/interactive-flat-panel/samsung-flip-65in-4k-interactive-panel/,200,https://sashabd.com/interactive-flat-panel/samsung-flip-65in-4k-interactive-panel/,"index, follow",,true,true
https://sashabd.com/interactive-flat-panel/samsung-86in-4k-interactive-classroom-board/,200,https://sashabd.com/interactive-flat-panel/samsung-86in-4k-interactive-classroom-board/,"index, follow",,true,true
https://sashabd.com/interactive-flat-panel/samsung-flip-75in-4k-smart-teaching-display/,200,https://sashabd.com/interactive-flat-panel/samsung-flip-75in-4k-smart-teaching-display/,"index, follow",,true,true
https://sashabd.com/interactive-flat-panel/newline-65in-4k-android-interactive-panel/,200,https://sashabd.com/interactive-flat-panel/newline-65in-4k-android-interactive-panel/,"index, follow",,true,true
https://sashabd.com/interactive-flat-panel/newline-75in-4k-touch-smartboard/,200,https://sashabd.com/interactive-flat-panel/newline-75in-4k-touch-smartboard/,"index, follow",,true,true
https://sashabd.com/interactive-flat-panel/iscreen-65in-4k-interactive-panel-android/,200,https://sashabd.com/interactive-flat-panel/iscreen-65in-4k-interactive-panel-android/,"index, follow",,true,true
https://sashabd.com/interactive-flat-panel/newline-86in-4k-collaboration-panel/,200,https://sashabd.com/interactive-flat-panel/newline-86in-4k-collaboration-panel/,"index, follow",,true,true
https://sashabd.com/interactive-flat-panel/iscreen-86in-4k-interactive-board-ops-ready/,200,https://sashabd.com/interactive-flat-panel/iscreen-86in-4k-interactive-board-ops-ready/,"index, follow",,true,true
https://sashabd.com/interactive-flat-panel/iscreen-75in-4k-smart-classroom-panel/,200,https://sashabd.com/interactive-flat-panel/iscreen-75in-4k-smart-classroom-panel/,"index, follow",,true,true
https://sashabd.com/interactive-flat-panel/iboard-65in-4k-interactive-smart-panel/,200,https://sashabd.com/interactive-flat-panel/iboard-65in-4k-interactive-smart-panel/,"index, follow",,true,true
https://sashabd.com/interactive-flat-panel/iboard-75in-4k-interactive-teaching-board/,200,https://sashabd.com/interactive-flat-panel/iboard-75in-4k-interactive-teaching-board/,"index, follow",,true,true
https://sashabd.com/interactive-flat-panel/iboard-86in-4k-large-interactive-panel/,200,https://sashabd.com/interactive-flat-panel/iboard-86in-4k-large-interactive-panel/,"index, follow",,true,true
https://sashabd.com/interactive-flat-panel/iboard-98in-4k-large-venue-interactive-panel/,200,https://sashabd.com/interactive-flat-panel/iboard-98in-4k-large-venue-interactive-panel/,"index, follow",,true,true
https://sashabd.com/blog/led-display-price-in-bangladesh-complete-buying-guide/,200,https://sashabd.com/blog/led-display-price-in-bangladesh-complete-buying-guide/,"index, follow,index, follow, max-video-preview:-1, max-image-preview:large, max-snippet:-1",,true,true
https://sashabd.com/blog/indoor-vs-outdoor-led-display-which-one-is-better/,200,https://sashabd.com/blog/indoor-vs-outdoor-led-display-which-one-is-better/,"index, follow,index, follow, max-video-preview:-1, max-image-preview:large, max-snippet:-1",,true,true
https://sashabd.com/blog/led-display-installation-guide/,200,https://sashabd.com/blog/led-display-installation-guide/,"index, follow,index, follow, max-video-preview:-1, max-image-preview:large, max-snippet:-1",,true,true
